cve,legacy_date_published,current_date_published
CVE-2002-2165,2005-11-16,2022-10-03
CVE-2002-2166,2005-11-16,2022-10-03
CVE-2002-2167,2005-11-16,2022-10-03
CVE-2002-2168,2005-11-16,2022-10-03
CVE-2002-2169,2005-11-16,2022-10-03
CVE-2002-2170,2005-11-16,2022-10-03
CVE-2002-2172,2005-11-16,2022-10-03
CVE-2002-2173,2005-11-16,2022-10-03
CVE-2002-2174,2005-11-16,2022-10-03
CVE-2002-2176,2005-11-16,2022-10-03
CVE-2002-2178,2005-11-16,2022-10-03
CVE-2002-2179,2005-11-16,2022-10-03
CVE-2002-2180,2005-11-16,2022-10-03
CVE-2002-2181,2005-11-16,2022-10-03
CVE-2002-2182,2005-11-16,2022-10-03
CVE-2002-2183,2005-11-16,2022-10-03
CVE-2002-2184,2005-11-16,2022-10-03
CVE-2002-2186,2005-11-16,2022-10-03
CVE-2002-2187,2005-11-16,2022-10-03
CVE-2002-2188,2005-11-16,2022-10-03
CVE-2002-2189,2005-11-16,2022-10-03
CVE-2002-2190,2005-11-16,2022-10-03
CVE-2002-2191,2005-11-16,2022-10-03
CVE-2002-2192,2005-11-16,2022-10-03
CVE-2002-2193,2005-11-16,2022-10-03
CVE-2002-2195,2005-11-16,2022-10-03
CVE-2002-2197,2005-11-16,2022-10-03
CVE-2002-2198,2005-11-16,2022-10-03
CVE-2002-2199,2005-11-16,2022-10-03
CVE-2002-2201,2005-11-16,2022-10-03
CVE-2002-2202,2005-11-16,2022-10-03
CVE-2002-2203,2005-11-16,2022-10-03
CVE-2002-2204,2005-11-16,2022-10-03
CVE-2002-2205,2005-11-16,2022-10-03
CVE-2002-2206,2005-11-16,2022-10-03
CVE-2002-2210,2006-04-04,2022-10-03
CVE-2002-2212,2006-05-23,2022-10-03
CVE-2002-2213,2006-05-23,2022-10-03
CVE-2002-2218,2006-09-13,2022-10-03
CVE-2002-2220,2006-12-21,2022-10-03
CVE-2002-2221,2006-12-21,2022-10-03
CVE-2002-2225,2007-02-26,2022-10-03
CVE-2002-2228,2007-10-14,2022-10-03
CVE-2002-2229,2007-10-14,2022-10-03
CVE-2002-2230,2007-10-14,2022-10-03
CVE-2002-2232,2007-10-14,2022-10-03
CVE-2002-2234,2007-10-14,2022-10-03
CVE-2002-2236,2007-10-14,2022-10-03
CVE-2002-2245,2007-10-14,2022-10-03
CVE-2002-2264,2007-10-18,2022-10-03
CVE-2002-2307,2007-10-26,2022-10-03
CVE-2002-2308,2007-10-26,2022-10-03
CVE-2002-2309,2007-10-26,2022-10-03
CVE-2002-2310,2007-10-26,2022-10-03
CVE-2002-2311,2007-10-26,2022-10-03
CVE-2002-2312,2007-10-26,2022-10-03
CVE-2002-2313,2007-10-26,2022-10-03
CVE-2002-2314,2007-10-26,2022-10-03
CVE-2002-2315,2007-10-26,2022-10-03
CVE-2002-2316,2007-10-26,2022-10-03
CVE-2002-2317,2007-10-26,2022-10-03
CVE-2002-2318,2007-10-26,2022-10-03
CVE-2002-2319,2007-10-26,2022-10-03
CVE-2002-2320,2007-10-26,2022-10-03
CVE-2002-2321,2007-10-26,2022-10-03
CVE-2002-2322,2007-10-26,2022-10-03
CVE-2002-2323,2007-10-26,2022-10-03
CVE-2002-2324,2007-10-26,2022-10-03
CVE-2002-2325,2007-10-26,2022-10-03
CVE-2002-2326,2007-10-26,2022-10-03
CVE-2002-2327,2007-10-26,2022-10-03
CVE-2002-2328,2007-10-26,2022-10-03
CVE-2002-2329,2007-10-26,2022-10-03
CVE-2002-2330,2007-10-26,2022-10-03
CVE-2002-2331,2007-10-26,2022-10-03
CVE-2002-2332,2007-10-26,2022-10-03
CVE-2002-2333,2007-10-26,2022-10-03
CVE-2002-2334,2007-10-26,2022-10-03
CVE-2002-2335,2007-10-26,2022-10-03
CVE-2002-2336,2007-10-29,2022-10-03
CVE-2002-2337,2007-10-29,2022-10-03
CVE-2002-2338,2007-10-29,2022-10-03
CVE-2002-2339,2007-10-29,2022-10-03
CVE-2002-2341,2007-10-29,2022-10-03
CVE-2002-2343,2007-10-29,2022-10-03
CVE-2002-2344,2007-10-29,2022-10-03
CVE-2002-2345,2007-10-29,2022-10-03
CVE-2002-2346,2007-10-29,2022-10-03
CVE-2002-2347,2007-10-29,2022-10-03
CVE-2002-2348,2007-10-29,2022-10-03
CVE-2002-2349,2007-10-29,2022-10-03
CVE-2002-2350,2007-10-29,2022-10-03
CVE-2002-2351,2007-10-29,2022-10-03
CVE-2002-2354,2007-10-29,2022-10-03
CVE-2002-2355,2007-10-29,2022-10-03
CVE-2002-2356,2007-10-29,2022-10-03
CVE-2002-2357,2007-10-29,2022-10-03
CVE-2002-2358,2007-10-29,2022-10-03
CVE-2002-2359,2007-10-29,2022-10-03
CVE-2002-2360,2007-10-29,2022-10-03
CVE-2002-2361,2007-10-29,2022-10-03
CVE-2002-2362,2007-10-29,2022-10-03
CVE-2002-2363,2007-10-29,2022-10-03
